Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=1ec7dca8490e4eab,Cloud Security Solution Engineer 5년 이상,"15년 연혁의 시스템소프트웨어 개발,공급,홈페이지 구축,모바일컨텐츠서비스 개발 및 공급업체 서울 논현동",,경험 - 담당 보안제품에 대한 기술지원 (Pre & Post-sales 업무) - SIEM 제품과의 연동 - Python 혹인 타 스크립트 언어를 이용한 3rd party 제품 연동 - Linux & Windows 서버 관리...
https://kr.indeed.com/viewjob?jk=ee7bb11873ae75fa,[던전앤파이터] 리깅TA,네오플 서울 강남구,,"리깅 구조를 설계하고 확장해 나갈수 있으신 분 - max script, python, mel, c# 중 한 가지 이상 사용가능하신 분 ※ 포트폴리오... 3D 툴 사용경험이 있으신 분 - Python 툴 개발 경험이 있으신 분..."
https://kr.indeed.com/viewjob?jk=5cb797fb9f7a865a,(주)시큐아이 개발직군 경력사원,시큐아이 서울 종로구,,응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Objective-C|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>Router·Switch
https://kr.indeed.com/viewjob?jk=ecd137e892563527,"KB데이타시스템 인재풀 등록 [ DevOps개발, iOS개발 부문]",KB데이타시스템 서울 마포구,,등 컨테이너 기술에 대한 이해 - TDD/DDD에 대한 이해 - Python. Nodeis등의 언어사용 경험 모바일개발(iOS) 경력 0명 [지원자격... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=9214061c8bc345b2,FX,Mofac 서울 서초구,,후디니 사용자 – 이펙트 요소 표현에 뛰어난 감각 소유 – VFX 파이프라인에 대한 이해도 우대사항 – Python 등 Scripting 유경험자 전형절차 서류전형 1차 실무면접 2차 임원면접 최종합격 서류전형 1차 실무면...
https://kr.indeed.com/viewjob?jk=e92e100f261967fa,Database Engineer,마이리얼트립 서울 강남구,,"컴퓨터 공학 또는 관련 분야 학사 학위 소지자 [우대사항] 프로그래밍 및 스크립트 스킬 (bash, Python, Java, Go 선호) 다양한 종류의 데이터베이스 경험 (MySQL, PostgreSQL, Redshift..."
https://kr.indeed.com/viewjob?jk=5f9f2df6b4e3ba4f,PostgreSQL Database Consultant,www.enterprisedb.com 서울 강남역,"연봉 101,351,696원","scripting languages like BASH, KSH, Python, Perl etc.. * Working knowledge of MS... like C, C++, PHP, python, Java or Ruby..."
https://kr.indeed.com/viewjob?jk=77be229baca410e3,연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세...,모든 경기도 광명,"연봉 42,000,000원 - 46,000,000원","프로그래밍 가능자 우대 S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/ Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자 * 전기..."
https://kr.indeed.com/viewjob?jk=ea3b136c0ff59524,데이터분석가(게임어뷰징 탐지),Nexon 성남 분당구,,"시스템 운영 등의 빅데이터 활용 업무경력) - 논리적이고 체계적인 문제 해결 및 커뮤니케이션 능력 - Python, Scala 등과 같은 프로그래밍언어로 데이터 분석 및 모델링 능력 (탐색적 데이터분석/ 데이터 전처리..."
https://kr.indeed.com/viewjob?jk=bd8e5afa35b65cbc,백엔드 개발자,스포카 서울 강남구,,들고 운영해 본 경험이 있는 분 단위 테스트 작성 등에 대해 거부감이 없고 습관이 잡혀 있는 분 우대 사항 Python 실무에서 3년 이상 사용한 경험이 있으신 분 컴퓨터과학 분야에서 논문 발표 실적이 있으신 분 마이크로서비...
https://kr.indeed.com/viewjob?jk=ffac42e32db26233,Lead Product Engineer - Liberate,Cadence Design Systems 경기도,,"problems and propose solution Automation skills using Tcl, Python, Perl and shell scripting Bachelor/Master in EE with 5+..."
https://kr.indeed.com/viewjob?jk=d7b1019fe6f88309,Backend Developer,KidsLoop 서울,,CI / CD 파이프 라인 경험 VPC 대한 기본 이해 우대사항 Python / Java 경험 Docker / Kubernetes 경험 AWS... Experience with Python or Java Experience...
https://kr.indeed.com/viewjob?jk=fdd1ec500461c093,"프론트엔드, 백엔드 개발 경력 정규직",토이스미스 서울 강남구,,"으로도 지원 가능 우대사항 l JavaScript 이외의 개발언어 능력 (JAVA, TypeScript, Python 등) l Node & React 스택의 개발자 l Spring Framework 및 오픈소스 활용 경험 l..."
https://kr.indeed.com/viewjob?jk=b7c3cf804f10824c,Front-end 개발자 신입/경력 정규직,로킷헬스케어 서울 금천구,"연봉 60,000,000원 - 70,000,000원","주소, 포트폴리오 제출 경험 - Angular, React, Svelte 경험자 - Java, PHP, Python 언어 능숙자 우대 - MySQL, MongoDB 사용 경험 - AWS 사용 경험 [근무부서 및 직급/직책..."
https://kr.indeed.com/viewjob?jk=1502306577f8b10a,"Solutions Architect, Manufacturing Speci...",Amazon Web Services Korea LLC 서울,,"getting hands dirty with code/scripting (e.g., Java, Python, C# / .NET, Node.js). · Business level English for both written..."
https://kr.indeed.com/viewjob?jk=5bffd6be54d68b58,"CRM분석, CRM Marketing Manager 국내 대기업 식품회사",국내 대기업 식품회사 서울특별시,,"머스 또는 인터넷서비스 전문기업(대기업) 경력 필수 - CRM 데이터 분석/GA 셋팅 경력 보유하신 분 - Python, R 등 기타 Programming language 사용경력을 보유하신 분 - Tableau 이용한 비즈..."
https://kr.indeed.com/viewjob?jk=cddd483ee5e5b943,[KSTEC] RPA 시스템 개발 신입 및 경력사원,지식시스템 성남 분당구,,통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>.NET|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML
https://kr.indeed.com/viewjob?jk=1ea1c58fe11f9df4,[AI R&D] 프론트엔드 개발 수시 모집,엔씨소프트 2.7 성남 판교역,,라이브러리(D3) 를 이용한 개발에 능숙하신 분 - API 를 통한 웹 서비스 개발 경험이 있으신 분 - Python 웹 서비스 개발 경험이 있으신 분 - 자발적으로 업무를 진행할 수 있는 능동적 자세를 가지신 분 - 최신...
https://kr.indeed.com/viewjob?jk=d0ad8d53ad979e23,Software Integration Engineer,Success Korea 서울,,"environment, Familiar with one of script language (Perl, Python or Shell) Good interpersonal skills; Strong knowledge..."
https://kr.indeed.com/viewjob?jk=f1f52bf8a7baa66d,인프라 기술 담당자 모집,넷마블 서울 구로구,,etc.. - Linux 혹은 Windows Specialist - 글로벌 서비스 유경험자 우대사항 - Python 개발 경력 3년 이상 - Open Source Project 참가 경험자 - 글로벌 솔루션 업체...
